"Source","Target","Type","Weight"
"digital marketing","ecommerce","Undirected","1.0"
"engineering and manufacturing","manufacturing","Undirected","1.0"
"healthcare and medicine","health","Undirected","1.0"
"data science and analytics","analysis","Undirected","1.0"
"data science and analytics","regression","Undirected","1.0"
"business and management","agile","Undirected","1.0"
"communication and soft skills","teamwork","Undirected","1.0"
"financial services","accounting","Undirected","1.0"
"technology and computing","git","Undirected","1.0"
"communication and soft skills","speaking","Undirected","1.0"
"education and learning","training","Undirected","1.0"
"data science and analytics","excel","Undirected","1.0"
"data science and analytics","statistical","Undirected","1.0"
"technology and computing","github","Undirected","1.0"
"design and user experience","visual","Undirected","1.0"
"technology and computing","cloud","Undirected","1.0"
"financial services","risk","Undirected","1.0"
"business and management","management","Undirected","1.0"
"design and user experience","design","Undirected","1.0"
"business and management","leadership","Undirected","1.0"
"technology and computing","security","Undirected","1.0"
"data science and analytics","learning","Undirected","1.0"
"engineering and manufacturing","mechanical","Undirected","1.0"
"data science and analytics","sql","Undirected","1.0"
"design and user experience","graphic","Undirected","1.0"
"digital marketing","content","Undirected","1.0"
"technology and computing","databases","Undirected","1.0"
"engineering and manufacturing","industrial","Undirected","1.0"
"design and user experience","ui","Undirected","1.0"
"technology and computing","google","Undirected","1.0"
"data science and analytics","data","Undirected","1.0"
"communication and soft skills","leadership","Undirected","1.0"
"data science and analytics","machine","Undirected","1.0"
"data science and analytics","intelligence","Undirected","1.0"
"education and learning","teaching","Undirected","1.0"
"data science and analytics","r","Undirected","1.0"
"business and management","economics","Undirected","1.0"
"business and management","supply","Undirected","1.0"
"education and learning","certification","Undirected","1.0"
"healthcare and medicine","palliative","Undirected","1.0"
"data science and analytics","exploratory","Undirected","1.0"
"business and management","retail","Undirected","1.0"
"education and learning","education","Undirected","1.0"
"business and management","marketing","Undirected","1.0"
"digital marketing","media","Undirected","1.0"
"business and management","project","Undirected","1.0"
"technology and computing","database","Undirected","1.0"
"design and user experience","prototype","Undirected","1.0"
"financial services","credit","Undirected","1.0"
"engineering and manufacturing","quality","Undirected","1.0"
"data science and analytics","neural","Undirected","1.0"
"data science and analytics","predictive","Undirected","1.0"
"design and user experience","ux","Undirected","1.0"
"digital marketing","advertising","Undirected","1.0"
"engineering and manufacturing","engineering","Undirected","1.0"
"data science and analytics","mining","Undirected","1.0"
"design and user experience","experience","Undirected","1.0"
"financial services","portfolio","Undirected","1.0"
"communication and soft skills","negotiation","Undirected","1.0"
"data science and analytics","descriptive","Undirected","1.0"
"business and management","finance","Undirected","1.0"
"technology and computing","aws","Undirected","1.0"
"data science and analytics","modeling","Undirected","1.0"
"data science and analytics","python","Undirected","1.0"
"data science and analytics","ai","Undirected","1.0"
"technology and computing","code","Undirected","1.0"
"design and user experience","wireframe","Undirected","1.0"
"business and management","organizational","Undirected","1.0"
"technology and computing","app","Undirected","1.0"
"data science and analytics","big","Undirected","1.0"
"design and user experience","interface","Undirected","1.0"
"digital marketing","branding","Undirected","1.0"
"digital marketing","brand","Undirected","1.0"
"engineering and manufacturing","process","Undirected","1.0"
"digital marketing","campaigns","Undirected","1.0"
"business and management","decision","Undirected","1.0"
"healthcare and medicine","treatment","Undirected","1.0"
"technology and computing","network","Undirected","1.0"
"technology and computing","windows","Undirected","1.0"
"digital marketing","seo","Undirected","1.0"
"healthcare and medicine","care","Undirected","1.0"
"data science and analytics","algorithms","Undirected","1.0"
"technology and computing","devops","Undirected","1.0"
"business and management","customer","Undirected","1.0"
"data science and analytics","clustering","Undirected","1.0"
"healthcare and medicine","cancer","Undirected","1.0"
"business and management","decisionmaking","Undirected","1.0"
"technology and computing","cybersecurity","Undirected","1.0"
"data science and analytics","tableau","Undirected","1.0"
"financial services","investing","Undirected","1.0"
"communication and soft skills","writing","Undirected","1.0"
"technology and computing","programming","Undirected","1.0"
"business and management","sales","Undirected","1.0"
"healthcare and medicine","clinical","Undirected","1.0"
"technology and computing","software","Undirected","1.0"
"financial services","tax","Undirected","1.0"
"business and management","entrepreneurship","Undirected","1.0"
"technology and computing","computing","Undirected","1.0"
"data science and analytics","deep","Undirected","1.0"
"data science and analytics","artificial","Undirected","1.0"
"technology and computing","infrastructure","Undirected","1.0"
"financial services","assets","Undirected","1.0"
"technology and computing","apis","Undirected","1.0"
"data science and analytics","visualization","Undirected","1.0"
"education and learning","courses","Undirected","1.0"
"financial services","equity","Undirected","1.0"
"business and management","chain","Undirected","1.0"
"business and management","strategy","Undirected","1.0"
"communication and soft skills","presentation","Undirected","1.0"
"communication and soft skills","conflict","Undirected","1.0"
"communication and soft skills","resolution","Undirected","1.0"
"business and management","stakeholder","Undirected","1.0"
"digital marketing","digital","Undirected","1.0"
"digital marketing","marketing","Undirected","1.0"
"communication and soft skills","interpersonal","Undirected","1.0"
"technology and computing","mobile","Undirected","1.0"
"healthcare and medicine","drug","Undirected","1.0"
"business and management","operations","Undirected","1.0"
"healthcare and medicine","healthcare","Undirected","1.0"
"engineering and manufacturing","product","Undirected","1.0"
"education and learning","students","Undirected","1.0"
"engineering and manufacturing","production","Undirected","1.0"
"design and user experience","usability","Undirected","1.0"
"business and management","strategic","Undirected","1.0"
"engineering and manufacturing","electrical","Undirected","1.0"
"business and management","business","Undirected","1.0"
"design and user experience","user","Undirected","1.0"
"healthcare and medicine","disease","Undirected","1.0"
"healthcare and medicine","nursing","Undirected","1.0"
"financial services","investment","Undirected","1.0"
"technology and computing","linux","Undirected","1.0"
"education and learning","school","Undirected","1.0"
"technology and computing","web","Undirected","1.0"
"technology and computing","azure","Undirected","1.0"
"healthcare and medicine","patient","Undirected","1.0"
"financial services","financial","Undirected","1.0"
"healthcare and medicine","medical","Undirected","1.0"
"technology and computing","apps","Undirected","1.0"
"healthcare and medicine","anatomy","Undirected","1.0"
"design and user experience","interactive","Undirected","1.0"
"financial services","banking","Undirected","1.0"
"education and learning","academic","Undirected","1.0"
"data science and analytics","analytics","Undirected","1.0"
"financial services","insurance","Undirected","1.0"
"business and management","accounting","Undirected","1.0"
"financial services","capital","Undirected","1.0"
"technology and computing","api","Undirected","1.0"
"education and learning","learning","Undirected","1.0"
"business and management","consulting","Undirected","1.0"
"engineering and manufacturing","design","Undirected","1.0"
"data science and analytics","classification","Undirected","1.0"
"digital marketing","social","Undirected","1.0"
"communication and soft skills","communication","Undirected","1.0"
