"Source","Target","Type","Weight"
"web design for everybody basics of web development coding","development","Undirected","1.0"
"deep learning","deep","Undirected","1.0"
"deep learning","learning","Undirected","1.0"
"sql for data science","data","Undirected","1.0"
"big data modeling and management systems","modeling","Undirected","1.0"
"cloud data engineering","engineering","Undirected","1.0"
"ai for medicine","medicine","Undirected","1.0"
"introduction to algorithms","algorithms","Undirected","1.0"
"python for everybody","python","Undirected","1.0"
"reinforcement learning","reinforcement","Undirected","1.0"
"machine learning","machine","Undirected","1.0"
"ai for medicine","ai","Undirected","1.0"
"sql for data science","sql","Undirected","1.0"
"advanced data visualization with tableau","tableau","Undirected","1.0"
"medical terminology","medical","Undirected","1.0"
"marketing analytics foundation","marketing","Undirected","1.0"
"advanced data visualization with tableau","visualization","Undirected","1.0"
"medical terminology","terminology","Undirected","1.0"
"android app development","android","Undirected","1.0"
"web design for everybody basics of web development coding","web","Undirected","1.0"
"introduction to algorithms","introduction","Undirected","1.0"
"machine learning","learning","Undirected","1.0"
"big data modeling and management systems","data","Undirected","1.0"
"cloud data engineering","data","Undirected","1.0"
"cloud data engineering","cloud","Undirected","1.0"
"accounting analysis i measurement and disclosure of assets","asset","Undirected","1.0"
"sql for data science","science","Undirected","1.0"
"big data modeling and management systems","big","Undirected","1.0"
"big data modeling and management systems","systems","Undirected","1.0"
"marketing analytics foundation","analytics","Undirected","1.0"
"web design for everybody basics of web development coding","coding","Undirected","1.0"
"accounting analysis i measurement and disclosure of assets","accounting","Undirected","1.0"
"android app development","development","Undirected","1.0"
"reinforcement learning","learning","Undirected","1.0"
"web design for everybody basics of web development coding","design","Undirected","1.0"
"android app development","app","Undirected","1.0"
